Name,Category,Platform,Keywords,Intent,Code Smell,When To Use,Structure,Bad Example,Good Example,Notes,Reference URL
Factory Method,Creational,Android,factory method creation switch when type instantiation polymorphism,Define an interface for creating objects letting subclasses decide which class to instantiate,Large when/switch block that creates different objects based on type string or enum,Creating platform-specific views | Creating different API request objects | ViewModel creation based on screen type,Creator → ConcreteCreator → Product,"when (type) {\n  ""list"" -> ListScreen()\n  ""grid"" -> GridScreen()\n  ""detail"" -> DetailScreen()\n}","interface ScreenFactory {\n  fun create(): Screen\n}\nclass ListScreenFactory : ScreenFactory {\n  override fun create() = ListScreen()\n}",In Android use Hilt @Binds with map multibinding for ViewModel factories. Compose: use CompositionLocal for factory injection.,https://refactoring.guru/design-patterns/factory-method
Factory Method,Creational,iOS,factory method creation switch pattern instantiation polymorphism swift,Define an interface for creating objects letting subclasses decide which class to instantiate,Large switch statement creating different objects based on type,Creating different view controllers | Building platform-specific UI components | Service instantiation,Protocol → ConcreteFactory → Product,"switch type {\ncase .list: return ListVC()\ncase .grid: return GridVC()\ncase .detail: return DetailVC()\n}","protocol ScreenFactory {\n  func create() -> UIViewController\n}\nclass ListScreenFactory: ScreenFactory {\n  func create() -> UIViewController { ListVC() }\n}",In SwiftUI use @EnvironmentObject or dependency container for factory injection.,https://refactoring.guru/design-patterns/factory-method
Factory Method,Creational,Flutter,factory method creation switch pattern instantiation dart widget,Define a factory constructor for creating objects based on type,Large switch creating different widgets based on type string,Creating platform-adaptive widgets | Building different page layouts | Service creation based on config,Factory constructor → Product,"switch (type) {\n  case 'list': return ListPage();\n  case 'grid': return GridPage();\n}","abstract class PageFactory {\n  Widget create();\n}\nclass ListPageFactory implements PageFactory {\n  @override\n  Widget create() => const ListPage();\n}",Dart has built-in factory constructors. Use them with abstract classes for clean factory patterns.,https://refactoring.guru/design-patterns/factory-method
Abstract Factory,Creational,All,abstract factory family platform theme component creation,Provide an interface for creating families of related objects without specifying concrete classes,Platform-specific UI components scattered across codebase with duplicated if-platform checks,Creating themed UI component sets | Platform-specific service implementations | White-label app variants,AbstractFactory → ConcreteFactory → AbstractProduct → ConcreteProduct,"if (platform == ""ios"") {\n  button = IOSButton()\n  dialog = IOSDialog()\n} else {\n  button = AndroidButton()\n  dialog = AndroidDialog()\n}","interface UIFactory {\n  fun createButton(): Button\n  fun createDialog(): Dialog\n}\nclass MaterialFactory : UIFactory { ... }\nclass CupertinoFactory : UIFactory { ... }",In Flutter use Platform.isIOS with factory. In Compose use MaterialTheme as a built-in abstract factory for theming.,https://refactoring.guru/design-patterns/abstract-factory
Builder,Creational,Android,builder telescoping constructor optional parameters configuration,Construct complex objects step by step allowing different representations,Constructor with many optional parameters | Telescoping constructors | Multiple overloaded constructors,Building complex request objects | Configuring notification builders | Multi-step form data assembly,Builder → ConcreteBuilder → Director → Product,"class Config(\n  val url: String,\n  val timeout: Int = 30,\n  val retries: Int = 3,\n  val cache: Boolean = true,\n  val headers: Map<String,String> = emptyMap()\n) // 10+ params","class Config private constructor(builder: Builder) {\n  class Builder {\n    private var url = """"\n    fun url(v: String) = apply { url = v }\n    fun build() = Config(this)\n  }\n}",Kotlin data classes with default params often eliminate the need for Builder. Use Builder only when construction has validation or ordering constraints.,https://refactoring.guru/design-patterns/builder
Builder,Creational,iOS,builder telescoping constructor optional parameters swift configuration,Construct complex objects step by step allowing different representations,Init with many optional parameters | Long initializer parameter lists,Building complex request configurations | Constructing attributed strings | Multi-step object assembly,Builder → Product,"init(url: String, timeout: Int = 30, retries: Int = 3, cache: Bool = true, headers: [String:String] = [:])","class ConfigBuilder {\n  private var url = """"\n  func url(_ v: String) -> Self { url = v; return self }\n  func build() -> Config { Config(url: url) }\n}",Swift @resultBuilder is a powerful alternative for DSL-style builders. Use for complex SwiftUI view composition.,https://refactoring.guru/design-patterns/builder
Singleton,Creational,Android,singleton global state shared instance single object,Ensure a class has only one instance and provide global access to it,Multiple instances of a manager class causing state inconsistencies | Global mutable state accessed everywhere,Database instance | Shared preferences wrapper | Analytics tracker | Network client,Singleton → Instance,"class DbHelper {\n  companion object {\n    var instance: DbHelper? = null\n    fun get(): DbHelper {\n      if (instance == null) instance = DbHelper()\n      return instance!!\n    }\n  }\n}","@Singleton\nclass DbHelper @Inject constructor(\n  private val db: AppDatabase\n) { ... }",Avoid manual singletons in Android. Use Hilt @Singleton scope instead. Manual singletons leak context and prevent testing.,https://refactoring.guru/design-patterns/singleton
Singleton,Creational,Flutter,singleton global state shared instance dart single,Ensure a class has only one instance and provide global access to it,Multiple instances causing duplicated state | Global variables scattered across files,Service locators | Shared configuration | Event bus,Singleton → Instance,"class ApiClient {\n  static ApiClient? _instance;\n  factory ApiClient() {\n    _instance ??= ApiClient._();\n    return _instance!;\n  }\n  ApiClient._();\n}","// Use get_it or riverpod instead\nfinal getIt = GetIt.instance;\ngetIt.registerSingleton<ApiClient>(ApiClient());",Prefer get_it or riverpod for DI over manual singletons. Manual singletons make testing and hot reload harder in Flutter.,https://refactoring.guru/design-patterns/singleton
Adapter,Structural,Android,adapter wrapper interface incompatible api response mapping convert,Convert the interface of a class into another interface clients expect,Manual mapping code duplicated across multiple call sites | Incompatible third-party API responses,Mapping API DTOs to domain models | Wrapping legacy code | Converting between library types,Target → Adapter → Adaptee,"// Scattered everywhere\nval user = User(\n  name = response.full_name,\n  email = response.email_address,\n  avatar = response.profile_image_url\n)","class UserMapper {\n  fun toDomain(dto: UserDto): User = User(\n    name = dto.full_name,\n    email = dto.email_address,\n    avatar = dto.profile_image_url\n  )\n}",Essential for Clean Architecture. Place mappers at layer boundaries. In Kotlin use extension functions for concise mapping.,https://refactoring.guru/design-patterns/adapter
Adapter,Structural,Flutter,adapter wrapper interface incompatible api response mapping dart convert,Convert the interface of a class into another interface clients expect,Manual fromJson/toJson scattered | Incompatible plugin API responses,Mapping API responses to models | Wrapping platform channels | Converting between packages,Target → Adapter → Adaptee,"final user = User(\n  name: json['full_name'],\n  email: json['email_address'],\n);","class UserMapper {\n  User toDomain(UserDto dto) => User(\n    name: dto.fullName,\n    email: dto.emailAddress,\n  );\n}",Use freezed with json_serializable for automatic DTO-to-model mapping. Place mappers in data layer.,https://refactoring.guru/design-patterns/adapter
