ID,Name,Platform,Category,Keywords,Description,Code,Imports,Notes,Reference URL
viewmodel_basic,Basic ViewModel,Android,Architecture,"viewmodel state flow hilt inject","Standard HiltViewModel with UiState sealed interface","@HiltViewModel\nclass HomeViewModel @Inject constructor(\n    private val repository: HomeRepository\n) : ViewModel() {\n\n    private val _uiState = MutableStateFlow<HomeUiState>(HomeUiState.Loading)\n    val uiState: StateFlow<HomeUiState> = _uiState.asStateFlow()\n\n    init { loadData() }\n\n    fun loadData() {\n        viewModelScope.launch {\n            _uiState.value = HomeUiState.Loading\n            try {\n                val data = repository.getData()\n                _uiState.value = HomeUiState.Success(data)\n            } catch (e: Exception) {\n                _uiState.value = HomeUiState.Error(e.message ?: \"Unknown error\")\n            }\n        }\n    }\n}\n\nsealed interface HomeUiState {\n    data object Loading : HomeUiState\n    data class Success(val items: List<Item>) : HomeUiState\n    data class Error(val message: String) : HomeUiState\n}","import androidx.lifecycle.ViewModel\nimport androidx.lifecycle.viewModelScope\nimport dagger.hilt.android.lifecycle.HiltViewModel\nimport kotlinx.coroutines.flow.MutableStateFlow\nimport kotlinx.coroutines.flow.StateFlow\nimport kotlinx.coroutines.flow.asStateFlow\nimport kotlinx.coroutines.launch\nimport javax.inject.Inject","Always use sealed interface for UiState. Expose immutable StateFlow.",https://developer.android.com/topic/libraries/architecture/viewmodel
viewmodel_event,ViewModel with Events,Android,Architecture,"viewmodel event channel side effect navigation snackbar","ViewModel with one-shot events via Channel for navigation/snackbar","@HiltViewModel\nclass LoginViewModel @Inject constructor(\n    private val authRepository: AuthRepository\n) : ViewModel() {\n\n    private val _uiState = MutableStateFlow(LoginUiState())\n    val uiState: StateFlow<LoginUiState> = _uiState.asStateFlow()\n\n    private val _events = Channel<LoginEvent>(Channel.BUFFERED)\n    val events: Flow<LoginEvent> = _events.receiveAsFlow()\n\n    fun onLoginClick(email: String, password: String) {\n        viewModelScope.launch {\n            _uiState.update { it.copy(isLoading = true) }\n            val result = authRepository.login(email, password)\n            _uiState.update { it.copy(isLoading = false) }\n            result.fold(\n                onSuccess = { _events.send(LoginEvent.NavigateToHome) },\n                onFailure = { _events.send(LoginEvent.ShowError(it.message ?: \"Login failed\")) }\n            )\n        }\n    }\n}\n\ndata class LoginUiState(\n    val isLoading: Boolean = false\n)\n\nsealed interface LoginEvent {\n    data object NavigateToHome : LoginEvent\n    data class ShowError(val message: String) : LoginEvent\n}","import kotlinx.coroutines.channels.Channel\nimport kotlinx.coroutines.flow.Flow\nimport kotlinx.coroutines.flow.receiveAsFlow\nimport kotlinx.coroutines.flow.update","Use Channel for one-shot events. Never use SharedFlow(replay=0) for events.",https://developer.android.com/topic/architecture/ui-layer/events
repository_basic,Repository Pattern,Android,Architecture,"repository datasource local remote offline cache","Repository with local cache and remote fallback","class ItemRepository @Inject constructor(\n    private val api: ItemApi,\n    private val dao: ItemDao,\n    @IoDispatcher private val ioDispatcher: CoroutineDispatcher\n) {\n    fun getItems(): Flow<List<Item>> = dao.observeAll()\n        .map { entities -> entities.map { it.toDomain() } }\n\n    suspend fun refreshItems() = withContext(ioDispatcher) {\n        val remote = api.getItems()\n        dao.upsertAll(remote.map { it.toEntity() })\n    }\n\n    suspend fun getItem(id: String): Item = withContext(ioDispatcher) {\n        dao.getById(id)?.toDomain()\n            ?: api.getItem(id).toDomain().also { dao.upsert(it.toEntity()) }\n    }\n}","import kotlinx.coroutines.CoroutineDispatcher\nimport kotlinx.coroutines.flow.Flow\nimport kotlinx.coroutines.flow.map\nimport kotlinx.coroutines.withContext\nimport javax.inject.Inject","Room as single source of truth. Expose Flow from DAO for reactive UI.",https://developer.android.com/topic/architecture/data-layer
repository_result,Repository with Result,Android,Architecture,"repository result wrapper error handling sealed","Repository returning Result wrapper for explicit error handling","class UserRepository @Inject constructor(\n    private val api: UserApi,\n    private val dao: UserDao\n) {\n    suspend fun getUser(id: String): Result<User> = runCatching {\n        val cached = dao.getById(id)\n        if (cached != null && !cached.isStale()) {\n            return Result.success(cached.toDomain())\n        }\n        val remote = api.getUser(id)\n        dao.upsert(remote.toEntity())\n        remote.toDomain()\n    }\n\n    suspend fun updateProfile(user: User): Result<Unit> = runCatching {\n        api.updateUser(user.toDto())\n        dao.upsert(user.toEntity())\n    }\n}","import javax.inject.Inject","Use runCatching for clean error propagation to ViewModel.",https://developer.android.com/topic/architecture/data-layer
hilt_module,Hilt DI Module,Android,DI,"hilt module provides singleton binds","Standard Hilt module with @Provides and @Binds","@Module\n@InstallIn(SingletonComponent::class)\nabstract class RepositoryModule {\n    @Binds\n    abstract fun bindUserRepository(\n        impl: UserRepositoryImpl\n    ): UserRepository\n}\n\n@Module\n@InstallIn(SingletonComponent::class)\nobject NetworkModule {\n    @Provides\n    @Singleton\n    fun provideOkHttpClient(): OkHttpClient = OkHttpClient.Builder()\n        .addInterceptor(HttpLoggingInterceptor().apply {\n            level = if (BuildConfig.DEBUG) BODY else NONE\n        })\n        .connectTimeout(30, TimeUnit.SECONDS)\n        .readTimeout(30, TimeUnit.SECONDS)\n        .build()\n\n    @Provides\n    @Singleton\n    fun provideRetrofit(client: OkHttpClient): Retrofit = Retrofit.Builder()\n        .baseUrl(BuildConfig.BASE_URL)\n        .client(client)\n        .addConverterFactory(MoshiConverterFactory.create())\n        .build()\n\n    @Provides\n    @Singleton\n    fun provideUserApi(retrofit: Retrofit): UserApi =\n        retrofit.create(UserApi::class.java)\n}","import dagger.Binds\nimport dagger.Module\nimport dagger.Provides\nimport dagger.hilt.InstallIn\nimport dagger.hilt.components.SingletonComponent\nimport javax.inject.Singleton","Use @Binds for interface-impl bindings. @Provides for 3rd-party objects.",https://developer.android.com/training/dependency-injection/hilt-android
hilt_qualifiers,Hilt Dispatchers,Android,DI,"hilt qualifier dispatcher io default main coroutine","Hilt qualifier annotations for Coroutine Dispatchers","@Qualifier\n@Retention(AnnotationRetention.BINARY)\nannotation class IoDispatcher\n\n@Qualifier\n@Retention(AnnotationRetention.BINARY)\nannotation class DefaultDispatcher\n\n@Qualifier\n@Retention(AnnotationRetention.BINARY)\nannotation class MainDispatcher\n\n@Module\n@InstallIn(SingletonComponent::class)\nobject DispatcherModule {\n    @IoDispatcher\n    @Provides\n    fun provideIoDispatcher(): CoroutineDispatcher = Dispatchers.IO\n\n    @DefaultDispatcher\n    @Provides\n    fun provideDefaultDispatcher(): CoroutineDispatcher = Dispatchers.Default\n\n    @MainDispatcher\n    @Provides\n    fun provideMainDispatcher(): CoroutineDispatcher = Dispatchers.Main\n}","import dagger.Module\nimport dagger.Provides\nimport dagger.hilt.InstallIn\nimport dagger.hilt.components.SingletonComponent\nimport kotlinx.coroutines.CoroutineDispatcher\nimport kotlinx.coroutines.Dispatchers\nimport javax.inject.Qualifier","Inject dispatchers for testability. Replace with TestDispatcher in tests.",https://developer.android.com/training/dependency-injection/hilt-android#qualifiers
room_setup,Room Database Setup,Android,Database,"room database dao entity migration","Complete Room setup with Entity DAO and Database","@Entity(tableName = ""items"")\ndata class ItemEntity(\n    @PrimaryKey val id: String,\n    val title: String,\n    val description: String,\n    val imageUrl: String?,\n    val createdAt: Long = System.currentTimeMillis()\n)\n\n@Dao\ninterface ItemDao {\n    @Query(""SELECT * FROM items ORDER BY createdAt DESC"")\n    fun observeAll(): Flow<List<ItemEntity>>\n\n    @Query(""SELECT * FROM items WHERE id = :id"")\n    suspend fun getById(id: String): ItemEntity?\n\n    @Upsert\n    suspend fun upsert(item: ItemEntity)\n\n    @Upsert\n    suspend fun upsertAll(items: List<ItemEntity>)\n\n    @Query(""DELETE FROM items"")\n    suspend fun deleteAll()\n}\n\n@Database(\n    entities = [ItemEntity::class],\n    version = 1,\n    exportSchema = true\n)\nabstract class AppDatabase : RoomDatabase() {\n    abstract fun itemDao(): ItemDao\n}","import androidx.room.*\nimport kotlinx.coroutines.flow.Flow","Use @Upsert over @Insert(onConflict=REPLACE). exportSchema=true for migrations.",https://developer.android.com/training/data-storage/room
room_hilt,Room Hilt Module,Android,Database,"room hilt module provides database dao","Hilt module providing Room database and DAOs","@Module\n@InstallIn(SingletonComponent::class)\nobject DatabaseModule {\n    @Provides\n    @Singleton\n    fun provideDatabase(\n        @ApplicationContext context: Context\n    ): AppDatabase = Room.databaseBuilder(\n        context,\n        AppDatabase::class.java,\n        ""app_database""\n    )\n        .fallbackToDestructiveMigration()\n        .build()\n\n    @Provides\n    fun provideItemDao(db: AppDatabase): ItemDao = db.itemDao()\n}","import android.content.Context\nimport androidx.room.Room\nimport dagger.Module\nimport dagger.Provides\nimport dagger.hilt.InstallIn\nimport dagger.hilt.android.qualifiers.ApplicationContext\nimport dagger.hilt.components.SingletonComponent\nimport javax.inject.Singleton","Use fallbackToDestructiveMigration only in dev. Write proper migrations for prod.",https://developer.android.com/training/data-storage/room
compose_screen,Compose Screen with ViewModel,Android,Compose,"compose screen viewmodel collectasstate lifecycle","Standard Compose screen consuming ViewModel state","@Composable\nfun HomeScreen(\n    viewModel: HomeViewModel = hiltViewModel(),\n    onItemClick: (String) -> Unit\n) {\n    val uiState by viewModel.uiState.collectAsStateWithLifecycle()\n\n    Scaffold(\n        topBar = {\n            TopAppBar(title = { Text(""Home"") })\n        }\n    ) { padding ->\n        when (val state = uiState) {\n            is HomeUiState.Loading -> {\n                Box(Modifier.fillMaxSize().padding(padding), contentAlignment = Alignment.Center) {\n                    CircularProgressIndicator()\n                }\n            }\n            is HomeUiState.Success -> {\n                LazyColumn(\n                    modifier = Modifier.padding(padding),\n                    contentPadding = PaddingValues(16.dp),\n                    verticalArrangement = Arrangement.spacedBy(8.dp)\n                ) {\n                    items(state.items, key = { it.id }) { item ->\n                        ItemCard(item = item, onClick = { onItemClick(item.id) })\n                    }\n                }\n            }\n            is HomeUiState.Error -> {\n                ErrorContent(\n                    message = state.message,\n                    onRetry = viewModel::loadData,\n                    modifier = Modifier.padding(padding)\n                )\n            }\n        }\n    }\n}","import androidx.compose.runtime.getValue\nimport androidx.hilt.navigation.compose.hiltViewModel\nimport androidx.lifecycle.compose.collectAsStateWithLifecycle","Always use collectAsStateWithLifecycle. Handle all UiState branches.",https://developer.android.com/develop/ui/compose/state
compose_card,Material3 Card Component,Android,Compose,"card material3 compose clickable elevation","Reusable Material3 card composable","@Composable\nfun ItemCard(\n    item: Item,\n    onClick: () -> Unit,\n    modifier: Modifier = Modifier\n) {\n    ElevatedCard(\n        onClick = onClick,\n        modifier = modifier.fillMaxWidth()\n    ) {\n        Row(\n            modifier = Modifier.padding(16.dp),\n            horizontalArrangement = Arrangement.spacedBy(12.dp),\n            verticalAlignment = Alignment.CenterVertically\n        ) {\n            AsyncImage(\n                model = item.imageUrl,\n                contentDescription = item.title,\n                modifier = Modifier\n                    .size(64.dp)\n                    .clip(RoundedCornerShape(8.dp)),\n                contentScale = ContentScale.Crop\n            )\n            Column(modifier = Modifier.weight(1f)) {\n                Text(\n                    text = item.title,\n                    style = MaterialTheme.typography.titleMedium\n                )\n                Text(\n                    text = item.subtitle,\n                    style = MaterialTheme.typography.bodyMedium,\n                    color = MaterialTheme.colorScheme.onSurfaceVariant\n                )\n            }\n        }\n    }\n}","import androidx.compose.material3.*\nimport coil.compose.AsyncImage","Use ElevatedCard for clickable cards. AsyncImage from Coil for images.",https://developer.android.com/develop/ui/compose/components/card
