Name,Platform,Complexity,Team Size,Keywords,Best For,Tech Stack,Layers,Structure,Anti Patterns,Notes,Reference URL
MVVM,Android,Medium,2-5,"mvvm viewmodel compose hilt room retrofit kotlin",Standard modern Android apps with Compose UI,Jetpack Compose|Hilt|Room|Retrofit|Coroutines|Navigation Compose,3,ui/screens|ui/viewmodel|data/repository|data/local|data/remote|di,God ViewModel|Exposing mutable state|Business logic in View|Skipping repository,Default recommended architecture by Google. ViewModel survives config changes.,https://developer.android.com/topic/architecture
Clean Architecture,Android,High,5+,"clean architecture usecases domain multi-module separation",Enterprise apps requiring strict separation and testability,Kotlin|Hilt|Room|Retrofit|Coroutines|Flow|JUnit|MockK,4,app|domain/usecases|domain/model|data/repository|data/datasource|presentation/viewmodel|presentation/ui,Overengineering small apps|Unnecessary UseCases|Domain depending on data|Leaking framework types,Best for large teams needing strict boundaries. Domain layer must have zero Android deps.,https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html
MVI,Android,High,3-8,"mvi state intent reducer kotlin flow unidirectional side effects",Apps with complex state management and deterministic UI,Kotlin|Compose|Flow|StateFlow|Hilt|Room|Retrofit,3,ui/screens|feature/state|feature/intent|feature/reducer|feature/sideeffect|data/repository,State explosion|Mutable state outside reducer|Blocking main thread in reducer,Single source of truth for UI state. State is immutable updated through intents via reducer.,https://developer.android.com/topic/architecture/ui-layer
MVP,Android,Medium,2-5,"mvp presenter view contract legacy java",Legacy Android apps or teams migrating from Java,Java or Kotlin|Dagger2|SQLite or Room|Retrofit|RxJava,3,ui/activities|ui/fragments|presenter|contract|model/repository|model/datasource,Massive Presenter|Tight coupling View-Presenter|Lifecycle leaks|Not detaching view,Considered legacy. Still in older codebases. Presenter holds View reference creating lifecycle issues.,https://developer.android.com/topic/architecture
MVVM + Repository,Android,Medium,2-5,"mvvm repository livedata flow viewmodel hilt room",Most modern Android apps following Google recommended arch,Kotlin|ViewModel|StateFlow|Hilt|Room|Retrofit|Navigation,3,ui/screens|ui/viewmodel|data/repository|data/local|data/remote|di,Repository becoming God class|Not mapping DTOs|Exposing Room entities to UI,Most commonly adopted modern Android pattern. Repository is single source of truth.,https://developer.android.com/topic/architecture/data-layer
Multi-Module Clean,Android,High,10+,"multi-module feature modules clean modularization gradle",Large-scale apps with multiple feature teams,Kotlin|Hilt|Room|Retrofit|Navigation|Gradle Convention Plugins|Flow,5,app|core/common|core/network|core/database|core/ui|feature/home|feature/search,Circular module deps|Shared mutable state|God core module|Tight coupling features,Enables parallel builds and independent feature development. Improves build times.,https://developer.android.com/topic/modularization
Redux-like (Orbit MVI),Android,High,3-8,"orbit mvi redux unidirectional middleware side effect container",Predictable state with middleware and side effect management,Kotlin|Orbit MVI|Compose|Hilt|Coroutines|Flow,3,ui/screens|feature/viewmodel|feature/state|feature/sideeffect|data/repository|middleware,Over-dispatching actions|Not using middleware for async|Navigation in reducer,Orbit provides Container hosting state and side effects. Built-in testing DSL.,https://orbit-mvi.org/
Compose-first,Android,Medium,2-5,"compose state hoisting remember composable kotlin material3",New Android apps built entirely with Jetpack Compose,Compose|Material3|Hilt|Room|Retrofit|Navigation Compose|Coroutines,3,ui/screens|ui/components|ui/theme|ui/navigation|viewmodel|data/repository,Business logic in composables|Not hoisting state|Overusing remember|Recomposition issues,Compose-first means entirely declarative UI. No XML layouts or Fragments needed.,https://developer.android.com/develop/ui/compose
MVVM-C,iOS,Medium,3-8,"mvvm coordinator swiftui combine navigation ios",Modern iOS apps needing decoupled navigation,SwiftUI|Combine|Swift Concurrency|SwiftData|URLSession|SPM,3,Coordinators|Views|ViewModels|Models|Services|Networking,Navigation logic in ViewModel|Coordinator retaining views|Massive Coordinator,Coordinators handle navigation keeping ViewModels free of routing logic.,https://developer.apple.com/documentation/swiftui
VIPER,iOS,High,10+,"viper interactor presenter entity router ios enterprise",Large enterprise iOS apps with big teams,UIKit or SwiftUI|Swift|CoreData|URLSession|Swinject|Quick Nimble,5,View|Interactor|Presenter|Entity|Router|DataManager|NetworkService,Massive boilerplate|Unnecessary abstraction|Tight coupling|Protocol explosion,Each screen has 5 components. Very testable but extremely verbose.,https://github.com/infinum/iOS-VIPER-Xcode-Templates
TCA,iOS,High,3-8,"tca composable pointfree reducer effect state swiftui",Composable and testable state management with SwiftUI,SwiftUI|TCA|Swift Concurrency|Dependencies|SPM,4,Feature/Reducer|Feature/View|Feature/State|Feature/Action|SharedModels|Clients,Overcomplicating simple features|Not scoping stores|Large monolithic reducers,Created by Point-Free. Every feature is a Reducer with State Action Effect.,https://github.com/pointfreeco/swift-composable-architecture
MVC,iOS,Low,1-3,"mvc model view controller uikit storyboard ios",Small iOS apps or prototypes,UIKit|Storyboard|CoreData|URLSession|Swift,2,Controllers|Views|Models|Helpers|Extensions|Resources,Massive View Controller|Business logic in controller|Not separating networking,Apple original pattern. Simple but leads to Massive View Controller problem.,https://developer.apple.com/documentation/uikit
MVVM + Router,iOS,Medium,2-5,"mvvm router swiftui navigation combine async await ios",Modern SwiftUI apps with programmatic navigation,SwiftUI|Combine|Swift Concurrency|SwiftData|NavigationStack|SPM,3,Views|ViewModels|Routers|Models|Services|Networking,Navigation scattered across VMs|Router God object|Not using NavigationPath,Routers handle navigation through NavigationStack. VMs focus on business logic.,https://developer.apple.com/documentation/swiftui/navigationstack
Clean Swift (VIP),iOS,High,5+,"vip clean swift interactor presenter worker router ios",iOS apps following Uncle Bob Clean Architecture,UIKit or SwiftUI|Swift|CoreData|URLSession|XCTest,4,Scenes/View|Scenes/Interactor|Scenes/Presenter|Scenes/Router|Scenes/Worker|Services,Excessive boilerplate|Request Response ViewModel bloat|Workers doing too much,Each scene follows unidirectional VIP cycle. Highly testable.,https://clean-swift.com/
RIBs,iOS,High,10+,"ribs router interactor builder uber ios modular",Very large iOS apps with deep dependency trees,UIKit|Swift|RxSwift|Needle DI|XCTest,4,RIB/Router|RIB/Interactor|RIB/Builder|RIB/View|RIB/Component|Services,Deep RIB tree complexity|Viewless RIBs overuse|Builder God class,Created by Uber. Business logic in Interactors. Builders handle DI.,https://github.com/uber/RIBs
BLoC,Flutter,Medium,3-8,"bloc cubit event state stream flutter dart",Structured event-driven state management for Flutter,Flutter|Dart|flutter_bloc|equatable|freezed|dio|get_it,3,lib/bloc|lib/data/repository|lib/data/model|lib/presentation/pages|lib/core,BLoC for trivial state|Not closing streams|Emitting in constructor|Nested BlocBuilders,Separates business logic from UI using Events and States. Cubit is simplified version.,https://bloclibrary.dev/
Provider + Clean,Flutter,Medium,2-5,"provider changenotifier clean architecture flutter dart",Small to medium Flutter apps,Flutter|Dart|provider|dio|sqflite|get_it|json_serializable,3,lib/domain/entities|lib/domain/usecases|lib/data/repositories|lib/presentation/providers|lib/core,ChangeNotifier God class|Not disposing|Calling notifyListeners too often,Provider is Flutter recommended simple state management. Scales for medium apps.,https://pub.dev/packages/provider
Riverpod + Clean,Flutter,High,3-8,"riverpod clean architecture code generation flutter dart freezed",Modern Flutter apps wanting compile-safe DI and state,Flutter|Dart|flutter_riverpod|riverpod_generator|freezed|dio|drift|go_router,4,lib/features/home/domain|lib/features/home/data|lib/features/home/presentation|lib/core,Provider spaghetti|Not using autoDispose|Circular provider deps,Riverpod is Provider successor with compile-time safety. No BuildContext dependency.,https://riverpod.dev/
GetX,Flutter,Low,1-3,"getx controller reactive bindings flutter dart all-in-one",Small Flutter apps or rapid prototypes,Flutter|Dart|get|get_storage|get_connect,2,lib/modules/home/controller|lib/modules/home/view|lib/modules/home/binding|lib/data|lib/routes,Tight coupling to GetX|God controller|Not disposing|Overusing .obs,All-in-one package. Easy to learn but creates vendor lock-in. Not for large apps.,https://pub.dev/packages/get
Stacked (MVVM),Flutter,Medium,2-5,"stacked mvvm viewmodel service flutter dart filledstacks",Medium Flutter apps wanting structured MVVM,Flutter|Dart|stacked|stacked_services|get_it|injectable|dio,3,lib/ui/views|lib/ui/widgets|lib/viewmodels|lib/services|lib/models|lib/app,VM doing network calls directly|Not using services|Navigation in views,Created by FilledStacks. Structured MVVM with navigation and dialog services.,https://pub.dev/packages/stacked
